EMPRESA;MODELO;DES_MODELO;FAMILIA;DES_FAMILIA;MARCA
1;5Z44E6              ;VW/CROSSFOX GII                         ;1;PADRÃO                        ;VW  
1;5609                ;CERATO SX2 1.6L                         ;1;PADRÃO                        ;VW  
1;7411                ;SANDERO                                 ;1;PADRÃO                        ;VW  
1;CITROENXSARA        ;XSARA PICASSO GX                        ;1;PADRÃO                        ;VW  
1;70030000A           ;SUPER100                                ;1;PADRÃO                        ;VW  
1;70010000A           ;MOTOCICLETA DAFRA SPEED 150CC COR PRETA,;1;PADRÃO                        ;VW  
1;70030000B           ;GREEN SPORT                             ;1;PADRÃO                        ;VW  
1;70010000B           ;SPEED 150CC                             ;1;PADRÃO                        ;VW  
1;70010000C           ;SPEED 150 CC                            ;1;PADRÃO                        ;VW  
1;70010000D           ;SPEED 150 CC                            ;1;PADRÃO                        ;VW  
1;70060000A           ;LASER 150 CC                            ;1;PADRÃO                        ;VW  
1;70060000B           ;LASER 150 CC                            ;1;PADRÃO                        ;VW  
1;70060000C           ;LASER 150 CC                            ;1;PADRÃO                        ;VW  
1;70060000D           ;LASER 150CC                             ;1;PADRÃO                        ;VW  
1;70020000E           ;MOTOCICLETA DAFRA KANSAS 150CC COR LARAN;1;PADRÃO                        ;VW  
1;70020000A           ;MOTOCICLETA DAFRA KANSAS 150CC COR PRETA;1;PADRÃO                        ;VW  
1;70020000D           ;MOTOCICLETA DAFRA KANSAS 150CC COR PRATA;1;PADRÃO                        ;VW  
1;111R                ;CELTA                                   ;1;PADRÃO                        ;VW  
1;5W9NT4              ;VW/SAVEIRO 1.8 SURF                     ;1;PADRÃO                        ;VW  
1;5U24E4              ;VW/VOYAGE 1.6 COMFORTLINE               ;1;PADRÃO                        ;VW  
1;MBUBUXEX225         ;NOVA FRONTIER XE 4X2  + CA + SEG + EL   ;1;PADRÃO                        ;VW  
1;MBUBULEX425A        ;FRONTIER LE 4X4 AT                      ;1;PADRÃO                        ;VW  
1;5U21CA              ;VOYAGE                                  ;1;PADRÃO                        ;VW  
1;5U21C4              ;VW/VOYAGE 1.0                           ;1;PADRÃO                        ;VW  
1;BMW3231             ;BMW 3231 AM31                           ;1;PADRÃO                        ;VW  
1;MBUBUSEX425         ;NOVA FRONTIER SE 4X4                    ;1;PADRÃO                        ;VW  
1;5U22E4              ;VOYAGE 1.6 TREND                        ;1;PADRÃO                        ;VW  
1;BROZ                ;MOTO                                    ;1;PADRÃO                        ;VW  
1;9M25JA              ;I/VW BORA                               ;1;PADRÃO                        ;VW  
1;3311J2              ;QUANTUM  CL 2000 5M                     ;1;PADRÃO                        ;VW  
1;3731W2              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;3732C2              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;3773C2              ;GOL  GL  1.8 MI                         ;1;PADRÃO                        ;VW  
1;3736A2              ;GOL 1.6 MI 4P                           ;1;PADRÃO                        ;VW  
1;3734E2              ;GOL  GLS 2.0  MI                        ;1;PADRÃO                        ;VW  
1;3762A3              ;SAVEIRO 1.6                             ;1;PADRÃO                        ;VW  
1;3733C3              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;3774Z2              ;GOL GTI 16 VAL                          ;1;PADRÃO                        ;VW  
1;3743C               ;PARATI CL 1.8 MI                        ;1;PADRÃO                        ;VW  
1;PARATI              ;98                                      ;1;PADRÃO                        ;VW  
1;374C3               ;PARATI CL 1.6 MI 4 P                    ;1;PADRÃO                        ;VW  
1;3741A3              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;374MA3              ;PARATI 1.6                              ;1;PADRÃO                        ;VW  
1;3791W2              ;PARATI  16V                             ;1;PADRÃO                        ;VW  
1;374CE3              ;PARATI 2.0 4 PORTAS                     ;1;PADRÃO                        ;VW  
1;374MC2              ;PARATI 1.8                              ;1;PADRÃO                        ;VW  
1;3762C2              ;CAMION. SAVEIRO CL . 1.8 MI             ;1;PADRÃO                        ;VW  
1;3762A2              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;3766A3              ;CARGA CAMIONETE SAVEIRO                 ;1;PADRÃO                        ;VW  
1;377BE2              ;GOL MIXTO 1000                          ;1;PADRÃO                        ;VW  
1;3776A2              ;GOL MI 1.60                             ;1;PADRÃO                        ;VW  
1;373BW3              ;GOL  CL 1.8 MI                          ;1;PADRÃO                        ;VW  
1;377332              ;GOL GLI                                 ;1;PADRÃO                        ;VW  
1;3775E2              ;GOL TSI 2.0                             ;1;PADRÃO                        ;VW  
1;3773A2              ;G0L 1.6 MI 4P                           ;1;PADRÃO                        ;VW  
1;373B2               ;GOL PLUS MI 4 P                         ;1;PADRÃO                        ;VW  
1;3793E3              ;PARATI GLS 2.0MI                        ;1;PADRÃO                        ;VW  
1;3793A3              ;PARAT. GLS 1.8                          ;1;PADRÃO                        ;VW  
1;379NC2              ;PARATI MI CL 1.8                        ;1;PADRÃO                        ;VW  
1;3791A2              ;PARATI NOVA                             ;1;PADRÃO                        ;VW  
1;3791C2              ;PARATI CL                               ;1;PADRÃO                        ;VW  
1;3741C2              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;545                 ;APOLLO                                  ;1;PADRÃO                        ;VW  
1;545233              ;APOLLO GLS 5M 1800 GASOLINA             ;1;PADRÃO                        ;VW  
1;545212              ;POLO 1.6                                ;1;PADRÃO                        ;VW  
1;545555              ;COROLLA                                 ;1;PADRÃO                        ;VW  
1;558131              ;LOGUS CL 1.8 GASOLINA                   ;1;PADRÃO                        ;VW  
1;558231              ;LOGUS GL 1.8 GASOLINA                   ;1;PADRÃO                        ;VW  
1;558341              ;LOGUS GLS 1.8 ALCCOL                    ;1;PADRÃO                        ;VW  
1;558121              ;LOGUS 1.6 ALCOOL                        ;1;PADRÃO                        ;VW  
1;558221              ;LOGUS GL 1.6 ALCOOL                     ;1;PADRÃO                        ;VW  
1;557271              ;POINTER                                 ;1;PADRÃO                        ;VW  
1;558141              ;LOGUS CL 1.8 ALCOOL                     ;1;PADRÃO                        ;VW  
1;558331              ;LOGUS GLS 1.8 GASOLINA                  ;1;PADRÃO                        ;VW  
1;557531              ;POINTER CLI                             ;1;PADRÃO                        ;VW  
1;555                 ;POINTER                                 ;1;PADRÃO                        ;VW  
1;9M2                 ;BORA 2.0                                ;1;PADRÃO                        ;VW  
1;BMW                 ;BMW 325IA                               ;1;PADRÃO                        ;VW  
1;102                 ;BRASILIA 2 PORTAS                       ;1;PADRÃO                        ;VW  
1;301                 ;VARIANT II                              ;1;PADRÃO                        ;VW  
1;6-150               ;CAMINHAO 6-150 TURBO GMC                ;1;PADRÃO                        ;VW  
1;3050N1              ;GOL GASOLINA 1600 C 4M                  ;1;PADRÃO                        ;VW  
1;3251E1              ;SANTANA 2 PORTAS ALCOOL                 ;1;PADRÃO                        ;VW  
1;3091B2              ;PARATI ALCOOL                           ;1;PADRÃO                        ;VW  
1;INVENT              ;INVENTARIO PERIODICO                    ;1;PADRÃO                        ;VW  
1;PAJERO              ;PAJERO FULL                             ;1;PADRÃO                        ;VW  
1;MITS00              ;MMC COLT GLX                            ;1;PADRÃO                        ;VW  
1;LANCE               ;LANCER GLX                              ;1;PADRÃO                        ;VW  
1;GALLOP              ;GALLOPER                                ;1;PADRÃO                        ;VW  
1;3052A2              ;GOL GL1600 5M                           ;1;PADRÃO                        ;VW  
1;545222              ;APOLLO ALCOOL GLS 1800 5M               ;1;PADRÃO                        ;VW  
1;3271D1              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;325112              ;SANTANA 2 PORTAS GASOLINA CL            ;1;PADRÃO                        ;VW  
1;3272K2              ;SANTANA 4 PORTAS ALCOOL                 ;1;PADRÃO                        ;VW  
1;3052N1              ;GOL GL 1600 4M GASOLINA                 ;1;PADRÃO                        ;VW  
1;557372              ;POINTER GT I 2000                       ;1;PADRÃO                        ;VW  
1;3A23T8              ;PASSAT 4 PORTAS                         ;1;PADRÃO                        ;VW  
1;3A5                 ;PASSAT ALEMAO                           ;1;PADRÃO                        ;VW  
1;377262              ;GOL CLI ALCOLL                          ;1;PADRÃO                        ;VW  
1;3081D4              ;SAVEIRO CLI                             ;1;PADRÃO                        ;VW  
1;I512                ;IMP SEAT  IBIZA SXE                     ;1;PADRÃO                        ;VW  
1;105                 ;VARIANT ANTIGA                          ;1;PADRÃO                        ;VW  
1;PEUG                ;307 1.6 16V                             ;1;PADRÃO                        ;VW  
1;7DJ1Z2              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;IBIZA               ;SEAT-IBIZA                              ;1;PADRÃO                        ;VW  
1;6K1B22              ;IBIZA 16V 1.0                           ;1;PADRÃO                        ;VW  
1;6K1206              ;I/SEAT IBIZA 16V                        ;1;PADRÃO                        ;VW  
1;CORDOB              ;CORDOBA GLX                             ;1;PADRÃO                        ;VW  
1;3771W2              ;GOL 2PORTAS 16V                         ;1;PADRÃO                        ;VW  
1;2.8 E               ;AUDI 100 S                              ;1;PADRÃO                        ;VW  
1;ABI12               ;AUDI A4                                 ;1;PADRÃO                        ;VW  
1;3B23J5              ;IMP. VW PASSAT TURBO                    ;1;PADRÃO                        ;VW  
1;3B23J9              ;IMP.  VW . PASSAT TURBO                 ;1;PADRÃO                        ;VW  
1;3731Y2              ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;7DJ1ZE              ;DOBLO                                   ;1;PADRÃO                        ;VW  
1;889                 ;PASSAT ALEMAO 3.1                       ;1;PADRÃO                        ;VW  
1;3B26R9              ;PASSAT                                  ;1;PADRÃO                        ;VW  
1;3B53J5              ;PASSAT VARIANT T TURBO                  ;1;PADRÃO                        ;VW  
1;3AX                 ;PASSAT/VARIANT  VARIAVEL                ;1;PADRÃO                        ;VW  
1;TT                  ;AUDI TT                                 ;1;PADRÃO                        ;VW  
1;TIPO                ;TIPO MPI 1.6                            ;1;PADRÃO                        ;VW  
1;GOLFVW10            ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;5W9LT4              ;VW/SAVEIRO 1.8 SUPERSURF                ;1;PADRÃO                        ;VW  
1;0111                ;BUGLLE                                  ;1;PADRÃO                        ;VW  
1;CMUD22              ;FRONTIER 4X4 SE                         ;1;PADRÃO                        ;VW  
1;70040000A           ;KANSAS 250                              ;1;PADRÃO                        ;VW  
1;70040000D           ;KANSAS 250CC                            ;1;PADRÃO                        ;VW  
1;DJBAL               ;GRAND LIVINA 1.8 MANUAL                 ;1;PADRÃO                        ;VW  
1;DLMLMX16MS          ;LIVINA X-GEAR 1.6                       ;1;PADRÃO                        ;VW  
1;5Z32E4              ;VW/FOX 1.6 PIME GII                     ;1;PADRÃO                        ;VW  
1;1KIA                ;PICANTO EX3 1.0                         ;1;PADRÃO                        ;VW  
1;JM2N                ;GRAND SCENIC DYN 2.0 1.6V               ;1;PADRÃO                        ;VW  
1;70015001G           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150 CC,;1;PADRÃO                        ;VW  
1;5Z6XE4              ;I/VW SAPACEFOX                          ;1;PADRÃO                        ;VW  
1;70015001C           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150 CC,;1;PADRÃO                        ;VW  
1;70015001A           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150 CC,;1;PADRÃO                        ;VW  
1;70015001B           ;TITAN 150CC                             ;1;PADRÃO                        ;VW  
1;9A42N6              ;POLO                                    ;1;PADRÃO                        ;VW  
1;7L60E3              ;I/VW TOUAREG V6                         ;1;PADRÃO                        ;VW  
1;5W5EV4              ;VW/PARATI 1.6 TITAN                     ;1;PADRÃO                        ;VW  
1;B9M9MBAUTK7E        ;SANDERO AUT. 1.6 8V                     ;1;PADRÃO                        ;VW  
1;LS1A                ;LOGAN EXPRESS. 1.6 8V                   ;1;PADRÃO                        ;VW  
1;BS1A                ;SANDERO EXPRESS. 1.6 8V                 ;1;PADRÃO                        ;VW  
1;B16X                ;SENTRA 2.0 S CVT AT                     ;1;PADRÃO                        ;VW  
1;C11X                ;TIIDA 1.8 S MT                          ;1;PADRÃO                        ;VW  
1;L10B                ;LIVINA 1.8 SL 16V AT                    ;1;PADRÃO                        ;VW  
1;B15                 ;SENTRA                                  ;1;PADRÃO                        ;VW  
1;LU05                ;SYMBOL EXPRESS. 1.6 16V                 ;1;PADRÃO                        ;VW  
1;MBUBUSEX225         ;FRONTIER SE 4X4 2009                    ;1;PADRÃO                        ;VW  
1;JA2C                ;SCENIC SL PRI 1.6 16V                   ;1;PADRÃO                        ;VW  
1;70090001H           ;MONETA DAFRA ZIG 100CC                  ;1;PADRÃO                        ;VW  
1;5Z32E6              ;FOX 1.6 PRIME G II                      ;1;PADRÃO                        ;VW  
1;70070001G           ;DAFRA SMART 125CC                       ;1;PADRÃO                        ;VW  
1;70070001C           ;DAFRA SMART 125CC                       ;1;PADRÃO                        ;VW  
1;BB3V                ;CLIO CAMPUS 1.0 16V HI-FLEX             ;1;PADRÃO                        ;VW  
1;LSTSTS20SMT         ;SENTRA 2.0 S CVT                        ;1;PADRÃO                        ;VW  
1;L9M9MLVLMD4L1       ;LOGAN EXP. 1.0 16V SL                   ;1;PADRÃO                        ;VW  
1;5U83E4              ;VW/SAVEIRO 1.6 CE TROOPER               ;1;PADRÃO                        ;VW  
1;70010002A           ;MOTOCICLETA DAFRA SPEED 150CC COR PRETA ;1;PADRÃO                        ;VW  
1;70010004H           ;DAFRA SPEED 150CC                       ;1;PADRÃO                        ;VW  
1;70010004B           ;DAFRA SPEED 150CC VERMELHO              ;1;PADRÃO                        ;VW  
1;5Z34E4              ;VW/CROSSFOX GII                         ;1;PADRÃO                        ;VW  
1;5U81E4              ;VW/SAVEIRO 1.6 CE                       ;1;PADRÃO                        ;VW  
1;LSTSTS20SATB        ;SENTRA 2.0 S CVT                        ;1;PADRÃO                        ;VW  
1;5W1JL4              ;VW/GOL 1.0 GIV                          ;1;PADRÃO                        ;VW  
1;5Z1WE4              ;I/VW FOX 1.6 PLUS                       ;1;PADRÃO                        ;VW  
1;DLMLML16MS          ;LIVINA 1.6 SL MT                        ;1;PADRÃO                        ;VW  
1;70070001A           ;DAFRA SMART 125CC                       ;1;PADRÃO                        ;VW  
1;70070001B           ;DAFRA SMART 125CC                       ;1;PADRÃO                        ;VW  
1;70090001C           ;DAFRA ZIG 1000CC                        ;1;PADRÃO                        ;VW  
1;B9M9MBSE2K4L2       ;SANDERO STEPWAY 1.6 16V                 ;1;PADRÃO                        ;VW  
1;5W1ML4              ;VW/GOL 1.0 ECOMOTION GIV                ;1;PADRÃO                        ;VW  
1;CB3V                ;CLIO CAMPUS AUTENT. 1.0 16V             ;1;PADRÃO                        ;VW  
1;BS1U                ;SANDERO PRIVILLEGE                      ;1;PADRÃO                        ;VW  
1;BS1V                ;SANDERO STEPWAY 1.6 16V                 ;1;PADRÃO                        ;VW  
1;LS1R                ;LOGAN EXPRESS. 1.0 16V                  ;1;PADRÃO                        ;VW  
1;5Z3VE4              ;I/VWFOX 1.6 GII                         ;1;PADRÃO                        ;VW  
1;BS1R                ;SANDERO AUT 1.0 16V                     ;1;PADRÃO                        ;VW  
1;9A3RN4              ;POLO SEDAN 1.6                          ;1;PADRÃO                        ;VW  
1;9A4RN4              ;POLO SEDAN 1.6 CONFORTLINE              ;1;PADRÃO                        ;VW  
1;5U24E6              ;VOYAGE                                  ;1;PADRÃO                        ;VW  
1;70090002B           ;MOTOCICLETA DAFRA/ZIG, COR VERMELHA, V2,;1;PADRÃO                        ;VW  
1;70015002C           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150, CO;1;PADRÃO                        ;VW  
1;70015002A           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150, CO;1;PADRÃO                        ;VW  
1;CBMBM5SLJVD4D       ;CLIO CAMPUS 1.0 16V                     ;1;PADRÃO                        ;VW  
1;LU02                ;SYMBOL EXPRESS. 1.6 8V                  ;1;PADRÃO                        ;VW  
1;B9M9MBEXD4L1        ;SANDERO EXP. 1.0 16V                    ;1;PADRÃO                        ;VW  
1;B9M9MBSE2K4L1       ;SANDERO STEPWAY 1.6 16V                 ;1;PADRÃO                        ;VW  
1;B9M9MBVIBK7L2       ;SANDERO EXP. 1.6 VIBE                   ;1;PADRÃO                        ;VW  
1;FERR                ;FERRARI 612 SCAGLIETTI                  ;1;PADRÃO                        ;VW  
1;5Z1CR4              ;VW/FOX 1.0 SUNRISE                      ;1;PADRÃO                        ;VW  
1;9B35T4              ;VW/GOLF 2.0 GT                          ;1;PADRÃO                        ;VW  
1;9A43T4              ;VW/POLO SEDAN 2.0 COMFOR                ;1;PADRÃO                        ;VW  
1;DVCUD               ;FRONTIER XE 4X4                         ;1;PADRÃO                        ;VW  
1;DVDUD               ;FRONTIER LE 4X4 AT                      ;1;PADRÃO                        ;VW  
1;9A43N6              ;POLO SEDAN 1.6 COMFORTLINE              ;1;PADRÃO                        ;VW  
1;LS1G                ;LOGAN EXP. 1.0 16V                      ;1;PADRÃO                        ;VW  
1;70010002B           ;MOTOCICLETA DAFRA SPEED 150CC           ;1;PADRÃO                        ;VW  
1;70010002C           ;DAFRA SPEED 150CC                       ;1;PADRÃO                        ;VW  
1;70030002B           ;MOTOCICLETA DAFRA SUPER 100, 100CC      ;1;PADRÃO                        ;VW  
1;B9M9MBVIBKL2        ;SANDERO EXP. 1.6 VIBE                   ;1;PADRÃO                        ;VW  
1;70090001B           ;DAFRA ZIG 100CC                         ;1;PADRÃO                        ;VW  
1;70090001A           ;DAFRA ZIG 100CC                         ;1;PADRÃO                        ;VW  
1;TIDIDTDSFFVA        ;TIIDA 1.8 S MT                          ;1;PADRÃO                        ;VW  
1;5Z31R4              ;VW/FOX 1.0 GII                          ;1;PADRÃO                        ;VW  
1;70010004A           ;MOTOCICLETA SPEED 150CC                 ;1;PADRÃO                        ;VW  
1;5U91E4              ;VW/SAVEIRO 1.6 CS                       ;1;PADRÃO                        ;VW  
1;5Z31E4              ;VW/FOX 1.6 GII                          ;1;PADRÃO                        ;VW  
1;PTHTHPTH25LSE       ;PATHFINDER SE                           ;1;PADRÃO                        ;VW  
1;5W1FL4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5U93E4              ;SAVEIRO                                 ;1;PADRÃO                        ;VW  
1;5U1HC4              ;GOL                                     ;1;PADRÃO                        ;VW  
1;MJMJMJEXPK4MV       ;MASTER                                  ;1;PADRÃO                        ;VW  
1;MJMJMJEXPK4MU       ;SCENIC EXP. 1.6 16V                     ;1;PADRÃO                        ;VW  
1;BS09                ;SANDERO STEPWAY 1.6 16V                 ;1;PADRÃO                        ;VW  
1;BS1G                ;SANDERO EXP. 1.0 16V                    ;1;PADRÃO                        ;VW  
1;LM24                ;MEGANE DYNAMIQUE 1.6 16V                ;1;PADRÃO                        ;VW  
1;1K23S3              ;I/VW JETTA                              ;1;PADRÃO                        ;VW  
1;5U1KE4              ;VW/GOL RALLYE 1.6                       ;1;PADRÃO                        ;VW  
1;70010005A           ;MOTOCICLETA DAFRA/SPEED 150, COR PRETA, ;1;PADRÃO                        ;VW  
1;70010005B           ;MOTOCICLETA DAFRA/SPEED 150, COR VERMELH;1;PADRÃO                        ;VW  
1;70060000Z           ;LASER 150CC                             ;1;PADRÃO                        ;VW  
1;5U21E6              ;VW/VOYAGE 1.6 I MOTION                  ;1;PADRÃO                        ;VW  
1;9B35T9              ;VW/GOLF 2.0 GT                          ;1;PADRÃO                        ;VW  
1;B9M9MBSE2K4L0       ;SANDERO STEPWAY 1.6 16V                 ;1;PADRÃO                        ;VW  
1;9M25T4              ;I/VW BORA                               ;1;PADRÃO                        ;VW  
1;9B37T9              ;VW/GOLF 2.0 SPORTLINE                   ;1;PADRÃO                        ;VW  
1;LS1U                ;LOGAN EXPRESS. 1.6 8V                   ;1;PADRÃO                        ;VW  
1;5U14E6              ;GOL                                     ;1;PADRÃO                        ;VW  
1;LM23                ;MEGANE DYNAM. 2.0 16V                   ;1;PADRÃO                        ;VW  
1;70090002H           ;MOTOCICLETA DAFRA ZIG COR AZUL V2, GASOL;1;PADRÃO                        ;VW  
1;70010005C           ;MOTOCICLETA DAFRA/SPEED 150, COR AMARELA;1;PADRÃO                        ;VW  
1;70015002G           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150, CO;1;PADRÃO                        ;VW  
1;70015002B           ;MOTOCICLETA DAFRA/TVS APACHE RTR 150, CO;1;PADRÃO                        ;VW  
1;5Z72E6              ;SPACE FOX                               ;1;PADRÃO                        ;VW  
1;DLMMLM16MS          ;LIVINA                                  ;1;PADRÃO                        ;VW  
1;1HYUNDAI            ;TUCSON                                  ;1;PADRÃO                        ;VW  
1;2HONDA              ;CB 300R                                 ;1;PADRÃO                        ;VW  
1;5N12V3              ;I/VW TIGUAN 2.0 TSI                     ;1;PADRÃO                        ;VW  
1;KM26                ;MEGANE GRAND TOUR DYN.1.6               ;1;PADRÃO                        ;VW  
1;70010005H           ;MOTOCICLETA DAFRA/SPEED 150, COR AZUL, V;1;PADRÃO                        ;VW  
1;70018001H           ;MOTONETA DAFRA/CITYCOM 300I, COR AZUL, V;1;PADRÃO                        ;VW  
1;SIEN                ;SIENA FIAT                              ;1;PADRÃO                        ;VW  
1;70020003D           ;MOTOCICLETA DAFRA/KANSAS 150, COR PRATA,;1;PADRÃO                        ;VW  
1;5U22E6              ;VW/VOYAGE 1.6 TREND                     ;1;PADRÃO                        ;VW  
1;70030002A           ;MOTOCICLETA DAFRA/SUPER 100, COR PRETA, ;1;PADRÃO                        ;VW  
1;L30W                ;FLUENCE DYNAMIQUE 2.0 16 V HI-FLEX MANUA;1;PADRÃO                        ;VW  
1;SC11                ;TIIDA SEDAN 1.8 MT                      ;1;PADRÃO                        ;VW  
1;5U11E6              ;VW/GOL 1.6 I MOTION                     ;1;PADRÃO                        ;VW  
1;70020003E           ;MOTOCICLETA DAFRA/KANSAS 150, COR LARANJ;1;PADRÃO                        ;VW  
1;LU0C                ;SYMBOL EXPRESSION 1.6 16V               ;1;PADRÃO                        ;VW  
1;KC1Y                ;KANGOO SPORTWAY 1.6 16V                 ;1;PADRÃO                        ;VW  
1;BS1Y                ;SANDERO                                 ;1;PADRÃO                        ;VW  
1;D40S                ;FRONTIER LE 4X4 AT                      ;1;PADRÃO                        ;VW  
1;5Z71E4              ;SPACEFOX                                ;1;PADRÃO                        ;VW  
1;5Z3RE4              ;FOX ROCK IN RIO                         ;1;PADRÃO                        ;VW  
1;70090002A           ;MOTOCICLETA DAFRA/ZIG, COR PRETA, V2, GA;1;PADRÃO                        ;VW  
1;70020003A           ;MOTOCICLETA DAFRA/KANSAS 150, COR PRETA,;1;PADRÃO                        ;VW  
1;70018001A           ;MOTONETA DAFRA/CITYCOM 300I, COR PRETA, ;1;PADRÃO                        ;VW  
1;70018001F           ;MOTONETA DAFRA/CITYCOM 300I, COR BRANCA,;1;PADRÃO                        ;VW  
1;CB3W                ;CLIO AUTHENTIC 1.0 16V                  ;1;PADRÃO                        ;VW  
1;AJ53S3              ;I/VW JETTA VARIENT                      ;1;PADRÃO                        ;VW  
1;9A63N6              ;POLO SEDAN 1.6 COMFORT                  ;1;PADRÃO                        ;VW  
1;LS1V                ;LOGAN EXPRESSION 1.6 16V AUTOMATICO     ;1;PADRÃO                        ;VW  
1;9A52N6              ;POLO 1.6                                ;1;PADRÃO                        ;VW  
1;5U1RC4              ;GOL 1.0 ROCK IN RIO                     ;1;PADRÃO                        ;VW  
1;1DK3                ;MARCH                                   ;1;PADRÃO                        ;VW  
1;HSAP                ;DUSTER 1.6 16V HI-FLEX MT               ;1;PADRÃO                        ;VW  
1;K13X                ;MARCH 1.6 SV                            ;1;PADRÃO                        ;VW  
1;9A32N6              ;POLO                                    ;1;PADRÃO                        ;VW  
1;70020001D           ;MOTOCICLETA DAFRA KANSAS 150CC COR PRATA;1;PADRÃO                        ;VW  
1;BB3W                ;CLIO AUTHENTIC HI-FLEX                  ;1;PADRÃO                        ;VW  
1;1CITROEN            ;SYMBOL EX 16                            ;1;PADRÃO                        ;VW  
1;5Z74E6              ;SPACECROSS                              ;5;SPACEFOX                      ;VW  
1;N17X                ;VERSA 1.6 SL MT                         ;1;PADRÃO                        ;VW  
1;5Z7KE4              ;VW/SPACEFOX 1.6 GII                     ;1;PADRÃO                        ;VW  
1;5U21C44             ;VOYAGE 1.0                              ;57;USADOS VW                     ;VW  
1;C9661               ;FIESTA SEDAN 1.0 FLEX                   ;1;PADRÃO                        ;VW  
1;C8547               ;HONDA FIT 1.5 EX                        ;1;PADRÃO                        ;VW  
1;C7046               ;FIAT STILO 1.8 FLEX                     ;1;PADRÃO                        ;VW  
1;C0762               ;PEUGEOT 207 HB XR                       ;1;PADRÃO                        ;VW  
1;C87032106           ;C5 2.0 EXCL BVA 16V TSE                 ;1;PADRÃO                        ;VW  
1;C0078               ;GM PRISMA MAXX 1.4                      ;1;PADRÃO                        ;VW  
1;C1390               ;AZERA 3.3 V6                            ;1;PADRÃO                        ;VW  
1;C5283               ;POLO SEDAN 1.6                          ;1;PADRÃO                        ;VW  
1;C4448               ;HONDA CIVIC LXS FLEX 1.8                ;1;PADRÃO                        ;VW  
1;C0227               ;PEUGEOT 207 PASSION XR S 1.4            ;1;PADRÃO                        ;VW  
1;C87032111           ;C3 PICASSO 1.5 GLX 8V FLEX 12/13        ;1;PADRÃO                        ;VW  
1;C6270               ;DOBLO ADV 1.8 FLEX                      ;1;PADRÃO                        ;VW  
1;C4546               ;XSARA PICASSO EXCL 2.0                  ;1;PADRÃO                        ;VW  
1;C1653               ;FIAT UNO MILLE FIRE FLEX                ;1;PADRÃO                        ;VW  
1;C7364               ;IDEA 1.4 ELX FLEX                       ;1;PADRÃO                        ;VW  
1;C87032010           ;C4 PALLAS 2.0 EXCLUSIVE BVA FLEX 16V    ;1;PADRÃO                        ;VW  
1;C87032411           ;C4 PICASSO 2.0 GLX BVA                  ;1;PADRÃO                        ;VW  
1;C87032311           ;XSARA PICASSO II 1.6 GLXF               ;1;PADRÃO                        ;VW  
1;C1499               ;PEUGEOT 207 HB 1.4 XR                   ;1;PADRÃO                        ;VW  
1;C1585               ;SIENA ELX 1.4 FLEX                      ;1;PADRÃO                        ;VW  
1;C2194               ;FIAT PALIO FIRE ECONOMY 1.0             ;1;PADRÃO                        ;VW  
1;C87032212           ;C4 PALLAS 2.0 GLX BVA                   ;1;PADRÃO                        ;VW  
1;C2659               ;PALIO FIRE ECONOMY                      ;1;PADRÃO                        ;VW  
1;C7731               ;PUNTO HLX 1.8                           ;1;PADRÃO                        ;VW  
1;C0750               ;SUZUKI GSX750F                          ;1;PADRÃO                        ;VW  
1;C2979               ;HILUX CD 4X4 2.5                        ;1;PADRÃO                        ;VW  
1;C44005              ;UNO MILLE FIRE FLEX 1.0                 ;1;PADRÃO                        ;VW  
1;C5268               ;VW GOL 1.0                              ;1;PADRÃO                        ;VW  
1;C5655               ;CORSA HATCH MAXX                        ;1;PADRÃO                        ;VW  
1;C9315               ;SANDEIRO STEPWAY                        ;1;PADRÃO                        ;VW  
1;C2027               ;C4 PALLAS 2.0 EXCL BVA                  ;1;PADRÃO                        ;VW  
1;C9616               ;FOCUS 1.6 FLEX HA                       ;1;PADRÃO                        ;VW  
1;C3258               ;PALIO WEEK ELX FLEX 1.4                 ;1;PADRÃO                        ;VW  
1;C6504               ;PALIO FIRE 1.0 FLEX                     ;1;PADRÃO                        ;VW  
1;C1617               ;HONDA CIVIC LXL 1.8                     ;1;PADRÃO                        ;VW  
1;C7043               ;VW/GOL 1.0                              ;1;PADRÃO                        ;VW  
1;C7995               ;SANDERO 1.O                             ;1;PADRÃO                        ;VW  
1;C8524               ;FORD KA 1.0 FLEX                        ;1;PADRÃO                        ;VW  
1;C8791               ;CHEVROLET CLASSIC                       ;1;PADRÃO                        ;VW  
