EMPRESA;MODELO;DES_MODELO;FAMILIA;DES_FAMILIA;MARCA
1;5W5SS4              ;PARATI 1.6 TRACKFIELD                   ;1;PADRÃO                        ;VW  
1;5W5ST4              ;PARATI                                  ;1;PADRÃO                        ;VW  
1;5W90S4              ;SAVEIRO 1.6                             ;1;PADRÃO                        ;VW  
1;5W93S4              ;SAVEIRO 1.6 SPORTLINE                   ;1;PADRÃO                        ;VW  
1;5W9PS4              ;SAVEIRO 1.6 CROSSVER                    ;1;PADRÃO                        ;VW  
1;5X10A4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X10D4              ;GOL 1.6                                 ;1;PADRÃO                        ;VW  
1;5X10M4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X10N4              ;GOL 16V PLUS                            ;1;PADRÃO                        ;VW  
1;5X10S4              ;GOL                                     ;1;PADRÃO                        ;VW  
1;5X11A4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X11C4              ;GOL 16V PLUS                            ;1;PADRÃO                        ;VW  
1;5X11F4              ;GOL 1.8                                 ;1;PADRÃO                        ;VW  
1;5X11M4              ;GOL 1.0 PLUS                            ;1;PADRÃO                        ;VW  
1;5X11N4              ;GOL                                     ;1;PADRÃO                        ;VW  
1;5X12D4              ;GOL 1.6                                 ;1;PADRÃO                        ;VW  
1;5X12E4              ;GOL 1.6                                 ;1;PADRÃO                        ;VW  
1;5X12F4              ;VW/GOL 1.8                              ;1;PADRÃO                        ;VW  
1;5X12G4              ;GOL 2.0                                 ;1;PADRÃO                        ;VW  
1;5X12K4              ;GOL 16 V TURBO                          ;1;PADRÃO                        ;VW  
1;5X13E4              ;FOX 1.6                                 ;1;PADRÃO                        ;VW  
1;5X16N4              ;GOL 16V POWER                           ;1;PADRÃO                        ;VW  
1;5X18D4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X18M4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X18S4              ;VW GOL 1.6 CITY 4 PORTAS                ;1;PADRÃO                        ;VW  
