EMPRESA;REVENDA;NUMERO_NOTA_FISCAL;SERIE_NOTA_FISCAL;TIPO_TRANSACAO;DTA_ENTRADA_SAIDA;DTA_DOCUMENTO;CLIENTE;DEPARTAMENTO;USUARIO;REVENDA_ORIGEM;QUANTIDADE;VAL_FRETE;VAL_DESCONTO;VAL_SEGURO;VAL_IPI;VAL_PIS;VAL_COFINS;VAL_TOTAL_REAL_ITEM;VAL_TOTAL_NOTA_ITEM;VAL_ICMS_RETIDO;VAL_CUSTO_CONTABIL;VAL_ICMS;VENDEDOR;VAL_ISS_RETIDO;COD_SETOR_VENDA;VAL_BONUS;MODELO
5;3;16616;1    ;U21;2019/04/03 00:00:00.000;2019/04/03 00:00:00.000;173724;200;732;3;1;0;0;0;0;26;120;37000;37000;0;33000;314.5; 84;;U;;5U6TE4
5;3;17120;1    ;U21;2019/04/18 00:00:00.000;2019/04/18 00:00:00.000;190228;200;732;3;1;0;0;0;0;6.5;30;22000;22000;0;21000;187; 84;;U;;6A52K4
5;3;5008;1    ;V21;2017/10/30 00:00:00.000;2017/10/30 00:00:00.000;190854;100;530;3;1;0;0;0;0;0;0;50291.72;50291.72;0;50291.78;0; 53;;N;;BZ12Q4
5;3;4780;1    ;V21;2017/10/17 00:00:00.000;2017/10/17 00:00:00.000;190576;100;585;3;1;0;0;0;0;0;0;54000;54000;0;52297.25;0; 44;;N;;5U6FE4
5;3;14476;1    ;U21;2019/01/05 00:00:00.000;2019/01/05 00:00:00.000;105533;200;675;3;1;0;0;0;0;16.25;75;70000;70000;0;67500;595; 69;;U;;2HBC3A
5;3;8629;1    ;U21;2018/04/20 00:00:00.000;2018/04/20 00:00:00.000;100766;200;508;3;1;0;0;0;0;9.75;45;28500;28500;0;27000;242.25; 29;;U;;5U3FN4
5;3;10455;1    ;U21;2018/07/11 00:00:00.000;2018/07/11 00:00:00.000;190228;200;546;3;1;0;0;0;0;9.75;45;23500;23500;0;22000;199.75; 28;;U;;6A13K4
5;3;9469;1    ;U21;2018/05/29 00:00:00.000;2018/05/29 00:00:00.000;193918;200;661;3;1;0;0;0;0;32.5;150;29000;29000;0;24000;246.5; 65;;U;;5U3DE4
5;3;2346;1    ;U21;2017/06/19 00:00:00.000;2017/06/19 00:00:00.000;167325;200;547;3;1;0;0;0;0;2.28;10.5;26000;26000;0;25650;221; 27;;U;;9BW0381
5;3;2472;1    ;U21;2017/06/24 00:00:00.000;2017/06/24 00:00:00.000;100734;200;547;3;1;0;0;0;0;9.75;45;25500;25500;0;24000;216.75; 27;;U;;9BW5987
5;3;3089;1    ;U21;2017/07/26 00:00:00.000;2017/07/26 00:00:00.000;100994;200;547;3;1;0;0;0;0;3.25;15;27500;27500;0;27000;233.75; 27;;U;;5U44E4
5;3;16545;1    ;U21;2019/03/30 00:00:00.000;2019/03/30 00:00:00.000;154036;200;732;3;1;0;0;0;0;0;0;21500;21500;0;21500;182.75; 84;;U;;5U3DN4
5;3;13414;1    ;U21;2018/11/20 00:00:00.000;2018/11/20 00:00:00.000;184977;200;546;3;1;0;0;0;0;26;120;26000;26000;0;22000;221; 28;;U;;5Z31N4
5;3;6317;1    ;U21;2018/01/06 00:00:00.000;2018/01/06 00:00:00.000;100178;200;546;3;1;0;0;0;0;0;0;40000;40000;0;43400;340; 28;;U;;1623H3
5;3;7292;1    ;U21;2018/02/20 00:00:00.000;2018/02/20 00:00:00.000;192565;200;508;3;1;0;0;0;0;6.5;30;20000;20000;0;19000;170; 29;;U;;5U11C4
5;3;6014;1    ;U21;2017/12/20 00:00:00.000;2017/12/20 00:00:00.000;188482;200;547;3;1;0;0;0;0;9.75;45;22500;22500;0;21000;191.25; 27;;U;;5U14E4
5;3;12995;1    ;U21;2018/10/31 00:00:00.000;2018/10/31 00:00:00.000;195995;200;546;3;1;0;0;0;0;26;120;24000;24000;0;20000;204; 28;;U;;5U11E4
5;3;15944;1    ;U21;2019/03/07 00:00:00.000;2019/03/07 00:00:00.000;45358;200;732;3;1;0;0;0;0;3.25;15;13500;13500;0;13000;114.75; 84;;U;;5U11C4
5;3;4998;1    ;U21;2017/10/28 00:00:00.000;2017/10/28 00:00:00.000;115930;200;547;3;1;0;0;0;0;6.5;30;10000;10000;0;9000;85; 27;;U;;5W1LL4
5;3;620;1    ;V23;2017/03/14 00:00:00.000;2017/03/14 00:00:00.000;97538;100;470;3;1;0;0;0;0;0;0;54055.01;54055.01;0;57794.54;0; 10;;N;;5UD6S4
