,VAL_CUSTO_CONTABIL
2015-08-29,2922.7500000000005
2015-08-30,0.0
2015-08-31,21848.520000000004
2015-09-01,29280.92
2015-09-02,12216.159999999998
2015-09-03,13481.429999999998
2015-09-04,13810.06
2015-09-05,8058.89
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,21342.92
2015-09-10,12896.549999999997
2015-09-11,8944.179999999998
2015-09-12,3564.6800000000003
2015-09-13,0.0
2015-09-14,13829.539999999997
2015-09-15,14083.769999999995
2015-09-16,16217.120000000006
2015-09-17,16413.739999999998
2015-09-18,24938.209999999995
2015-09-19,17844.62
2015-09-20,0.0
2015-09-21,5888.289999999999
2015-09-22,21663.61
2015-09-23,14480.510000000002
2015-09-24,14920.700000000003
2015-09-25,13636.259999999998
2015-09-26,6579.31
2015-09-27,0.0
2015-09-28,5213.19
2015-09-29,22315.5
2015-09-30,9605.340000000002
2015-10-01,6339.42
2015-10-02,15494.709999999997
2015-10-03,6954.17
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,9956.71
2015-10-07,10641.489999999998
2015-10-08,22995.800000000003
2015-10-09,38761.44000000002
2015-10-10,2597.2100000000005
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,10526.710000000003
2015-10-14,13527.38
2015-10-15,20140.690000000002
2015-10-16,14347.11
2015-10-17,1855.5100000000002
2015-10-18,0.0
2015-10-19,10935.539999999999
2015-10-20,14303.060000000001
2015-10-21,3543.3899999999994
2015-10-22,9443.119999999999
2015-10-23,34549.81000000001
2015-10-24,5231.6
2015-10-25,0.0
2015-10-26,8762.970000000001
2015-10-27,22656.230000000003
2015-10-28,18875.47
2015-10-29,5004.17
2015-10-30,57106.19999999998
2015-10-31,4566.099999999999
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,7049.139999999999
2015-11-04,12851.380000000001
2015-11-05,12698.95
2015-11-06,10776.879999999997
2015-11-07,1690.42
2015-11-08,0.0
2015-11-09,12581.140000000001
2015-11-10,14745.470000000001
2015-11-11,14774.75
2015-11-12,6916.440000000001
2015-11-13,19380.579999999998
2015-11-14,2289.6500000000005
2015-11-15,0.0
2015-11-16,13069.880000000001
2015-11-17,8487.039999999999
2015-11-18,13877.149999999998
2015-11-19,24853.440000000002
2015-11-20,14570.890000000003
2015-11-21,4598.94
2015-11-22,0.0
2015-11-23,9436.66
2015-11-24,15505.299999999997
2015-11-25,28332.69
2015-11-26,8344.1
2015-11-27,11482.649999999998
2015-11-28,5675.1100000000015
2015-11-29,0.0
2015-11-30,25181.110000000008
2015-12-01,13363.600000000002
2015-12-02,11757.49
2015-12-03,19100.959999999995
2015-12-04,18566.78
2015-12-05,3919.18
2015-12-06,0.0
2015-12-07,7550.47
2015-12-08,29242.960000000003
2015-12-09,14234.539999999999
2015-12-10,11985.51
2015-12-11,11973.200000000008
2015-12-12,9074.36
2015-12-13,0.0
2015-12-14,12699.39
2015-12-15,13644.82
2015-12-16,23364.83
2015-12-17,24219.120000000006
2015-12-18,24645.409999999996
2015-12-19,16750.51
2015-12-20,0.0
2015-12-21,15373.920000000002
2015-12-22,27929.029999999995
2015-12-23,12205.630000000003
2015-12-24,3985.8099999999995
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,25535.339999999993
2015-12-29,21079.619999999995
2015-12-30,45258.41
2015-12-31,10010.16
2016-01-01,0.0
2016-01-02,683.05
2016-01-03,0.0
2016-01-04,23045.81
2016-01-05,9460.960000000001
2016-01-06,16206.799999999996
2016-01-07,15152.52
2016-01-08,10688.080000000002
2016-01-09,10143.35
2016-01-10,0.0
2016-01-11,5818.8099999999995
2016-01-12,6255.15
2016-01-13,17443.12
2016-01-14,13669.620000000003
2016-01-15,27803.619999999995
2016-01-16,24271.9
2016-01-17,0.0
2016-01-18,13660.35
2016-01-19,39321.49999999999
2016-01-20,28546.149999999998
2016-01-21,13662.449999999999
2016-01-22,31435.579999999998
2016-01-23,3132.2799999999997
2016-01-24,0.0
2016-01-25,15189.740000000003
2016-01-26,15623.610000000004
2016-01-27,36303.86999999999
2016-01-28,38832.62
2016-01-29,43867.95999999999
2016-01-30,5307.11
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,3222.1500000000005
2016-02-03,12489.730000000001
2016-02-04,13057.370000000003
2016-02-05,23948.9
2016-02-06,8655.93
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,8603.26
2016-02-11,13144.52
2016-02-12,12619.179999999997
2016-02-13,12086.530000000002
2016-02-14,0.0
2016-02-15,18546.6
2016-02-16,9427.990000000003
2016-02-17,27142.030000000002
2016-02-18,52917.68
2016-02-19,27029.64
2016-02-20,8361.140000000001
2016-02-21,0.0
2016-02-22,7795.8
2016-02-23,28127.780000000002
2016-02-24,25057.41
2016-02-25,18677.709999999995
2016-02-26,25580.920000000002
2016-02-27,13183.679999999998
2016-02-28,0.0
2016-02-29,21539.150000000005
2016-03-01,7273.2300000000005
2016-03-02,4915.8
2016-03-03,18430.120000000003
2016-03-04,16215.039999999997
2016-03-05,31703.92
2016-03-06,0.0
2016-03-07,3150.6699999999996
2016-03-08,20497.679999999997
