,VAL_CUSTO_CONTABIL
2015-10-26,62366.16
2015-10-27,37985.87
2015-10-28,210988.7
2015-10-29,72315.17
2015-10-30,143952.12
2015-10-31,249460.57999999996
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,106880.4
2015-11-05,52313.51
2015-11-06,146447.12
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,57024.49
2015-11-10,16500.0
2015-11-11,64395.63
2015-11-12,120700.48
2015-11-13,55868.12
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,83134.62
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,141457.95
2015-11-20,120605.79999999999
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,206449.24
2015-11-24,63417.41
2015-11-25,79628.15
2015-11-26,155773.49
2015-11-27,74329.08
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,730485.2
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,82189.04999999999
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,178500.24
2015-12-08,234933.09000000003
2015-12-09,64386.93
2015-12-10,173259.68
2015-12-11,177890.08999999997
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,195026.1
2015-12-15,46133.44
2015-12-16,126292.87
2015-12-17,180480.94
2015-12-18,233575.51
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,159109.08
2015-12-22,38653.79
2015-12-23,74014.95999999999
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,119556.43000000001
2015-12-29,82259.73
2015-12-30,416533.06999999995
2015-12-31,41947.71
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,41947.71
2016-01-05,105534.92000000001
2016-01-06,0.0
2016-01-07,115105.38
2016-01-08,152113.2
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,202215.48
2016-01-12,209412.13
2016-01-13,74623.18
2016-01-14,160436.94
2016-01-15,143662.87
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,49225.15
2016-01-19,184988.83999999997
2016-01-20,221010.36
2016-01-21,0.0
2016-01-22,479006.01
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,65527.22
2016-01-26,155578.06
2016-01-27,163661.36
2016-01-28,172156.57
2016-01-29,286724.85
2016-01-30,554502.5499999999
2016-01-31,0.0
2016-02-01,57018.26
2016-02-02,144983.55
2016-02-03,50377.63
2016-02-04,0.0
2016-02-05,134053.85
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,43512.6
2016-02-11,136322.58000000002
2016-02-12,256389.57999999996
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,36249.75
2016-02-16,0.0
2016-02-17,39533.28
2016-02-18,84936.48999999999
2016-02-19,224414.78999999998
2016-02-20,47328.08
2016-02-21,0.0
2016-02-22,261214.07
2016-02-23,35711.34
2016-02-24,207678.28999999998
2016-02-25,239139.56
2016-02-26,404380.45999999996
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,35711.34
2016-03-01,0.0
2016-03-02,167485.21
2016-03-03,247000.0
2016-03-04,35711.34
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,54480.68
2016-03-09,75353.98
2016-03-10,0.0
2016-03-11,76658.76
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,126304.44
2016-03-15,53487.62
2016-03-16,153939.17
2016-03-17,198208.78000000003
2016-03-18,99927.98
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,35711.34
2016-03-22,93044.18
2016-03-23,40126.2
2016-03-24,174330.82
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,84578.31
2016-03-29,0.0
2016-03-30,118276.26000000001
2016-03-31,251685.42
2016-04-01,35711.34
2016-04-02,0.0
